Crop ,Disease,Remedies,Precautions,Fertilisers,Cause
Potato,Early blight,"Early blight of potato is caused by the fungus, Alternaria solani, which can cause disease in potato, tomato, other members of the potato family, and some mustards. This disease, also known as target spot, rarely affects young, vigorously growing plants. It is found on older leaves first. Early blight is favored by warm temperatures and high humidity.","Early blight can be minimized by maintaining optimum growing conditions, including proper fertilization, irrigation, and management of other pests. Grow later maturing, longer season varieties. Fungicide application is justified only when the disease is initiated early enough to cause economic loss.","Liquid Copper Spray -https://www.amazon.com/BONIDE-PRODUCTS-775-Fungicide-32-Ounce/dp/B016IVIJLG/ref=as_li_ss_tl?keywords=Liquid+Copper+Spray&qid=1573678911&sr=8-2&linkCode=sl1&tag=planetnatur03-20&linkId=dd3de186832f49f2d228be1726fee688
Sernade garden - https://www.amazon.sg/Agra-Quest-708510A-Serenade-32-Ounce/dp/B000FOMRUC","Early blight of potato is caused by the fungus, Alternaria solani, which can cause disease in potato, tomato, other members of the potato family, and some mustards. This disease, also known as target spot, rarely affects young, vigorously growing plants. It is found on older leaves first. Early blight is favored by warm temperatures and high humidity."
Potato,Late blight,"1. Plant resistant cultivars when available.
2. Remove volunteers from the garden prior to planting and space plants far enough apart to allow for plenty of air circulation.
3. Water in the early morning hours, or use soaker hoses, to give plants time to dry out during the day — avoid overhead irrigation.
4. Destroy all potato debris after harvest (see Fall Garden Cleanup).","Late blight is controlled by eliminating cull piles and volunteer potatoes, using proper harvesting and storage practices, and applying fungicides when necessary. Air drainage to facilitate the drying of foliage each day is important. Under marginal conditions, overhead sprinkler irrigation can favor late blight; in Tule Lake under solid set sprinklers, conditions conducive to late blight development are enhanced by day time irrigation but not night time irrigation.",Liquid Copper Spray -https://www.amazon.com/BONIDE-PRODUCTS-775-Fungicide-32-Ounce/dp/B016IVIJLG/ref=as_li_ss_tl?keywords=Liquid+Copper+Spray&qid=1573678911&sr=8-2&linkCode=sl1&tag=planetnatur03-20&linkId=dd3de186832f49f2d228be1726fee688Sernade garden - https://www.amazon.sg/Agra-Quest-708510A-Serenade-32-Ounce/dp/B000FOMRUC,"Potato late blight is caused by the water mold pathogen Phytophthora infestans. This highly destructive disease thrives in cool, moist conditions, spreading rapidly through potato fields. The pathogen infects plant tissues, producing characteristic lesions on leaves, stems, and tubers. It spreads through spores, which can be carried by wind, water, or infected plant material. Late blight devastates potato crops by destroying foliage, reducing yield, and spoiling tubers. Timely detection and management strategies are crucial to mitigate its impact on potato production."
Tomato,Target Spot,"1.Remove old plant debris at the end of the growing season; otherwise, the spores will travel from debris to newly planted tomatoes in the following growing season, thus beginning the disease anew. Dispose of the debris properly and don’t place it on your compost pile unless you’re sure your compost gets hot enough to kill the spores.
2.Rotate crops and don’t plant tomatoes in areas where other disease-prone plants have been located in the past year– primarily eggplant, peppers, potatoes or, of course – tomatoes. Rutgers University Extension recommends a three year rotation cycle to reduce soil-borne fungi.
3.Pay careful attention to air circulation, as target spot of tomato thrives in humid conditions. Grow the plants in full sunlight. Be sure the plants aren’t crowded and that each tomato has plenty of air circulation. Cage or stake tomato plants to keep the plants above the soil.
4.Water tomato plants in the morning so the leaves have time to dry. Water at the base of the plant or use a soaker hose or drip system to keep the leaves dry. Apply a mulch to keep the fruit from coming in direct contact with the soil. Limit mulch to 3 inches (8 cm.) or less if your plants are bothered by slugs or snails.","Crop Rotation: Avoid planting tomatoes in the same location consecutively to disrupt the disease cycle.
Sanitation: Remove and destroy infected plant debris to reduce the source of fungal spores.
Proper Plant Spacing: Ensure adequate spacing between tomato plants to promote air circulation and reduce humidity, which can inhibit fungal growth.
Early Detection: Regularly inspect plants for symptoms of target spot, such as circular lesions on leaves, and promptly remove and destroy infected plant parts.
Fungicide Application: In severe cases, consider applying fungicides labeled for target spot control following manufacturer's instructions and recommended intervals.","Chlorothalonil: https://kisandarshan.in/product/kavach-chlorothalonil-75-wp-fungicide/
 Mancozeb:
https://www.amazon.in/Syngenta-Abic-Fungicide-Mancozeb-Grams/dp/B07TGC8ZHT","Target spot, caused by fungal pathogens such as Corynespora cassiicola, poses a significant threat to tomato crops worldwide. This disease manifests as circular lesions on the leaves, resembling a target pattern, hence its name. These lesions can expand rapidly, leading to defoliation and reduced fruit quality and yield. Target spot thrives in warm and humid conditions, making it particularly problematic in regions with such climates. Effective management strategies include crop rotation, fungicide applications, and maintaining proper plant spacing to reduce humidity levels and minimize disease spread. Early detection and intervention are crucial for preventing severe outbreaks and safeguarding tomato production."
Tomato,mosaic virus,"1.There are some cultural practices that can help to manage the spread of the virus and reduce the impact of the infection. These practices include:
2. Removing and destroying infected plants and plant debris
3. Watering plants at the base to avoid wetting the leaves
4. Providing good air circulation around plants
5. Planting resistant varieties of tomatoes
6. Using insect control measures to reduce the number of insects that can transmit the virus","1. Buying transplants from reputable sources
2. Disinfecting tools and equipment after working with tomatoes
3. Avoiding contact with infected plants
4. Choose tomato varieties that are resistant to Tomato Mosaic Virus when available.
 5. Manage insect vectors like aphids and whiteflies through appropriate pest management methods to reduce the risk of virus transmission.","Safer soap : https://www.amazon.in/32-Ounce-Safer-Brand-Insect-Killing/dp/B000BQL8UY
Bon-Neem II : https://www.amazon.com/Bonide-Bon-Neem-Insecticidal-Soap-Rtu/dp/B001D10EQA?th=1
Harvest Guard : https://www.amazon.in/Gardeneer-Harvest-Guard-Germination-Garden-Protection/dp/B01N4GCEG","Tomato Mosaic Virus is caused by the Tomato mosaic virus (ToMV) and the Tobacco mosaic virus (TMV), which belong to the Tobamovirus genus. These viruses are highly stable and can survive in infected plant debris and soil for extended periods. The virus is primarily transmitted through direct contact with infected plants, either mechanically or via insect vectors such as aphids and whiteflies. Humans can also inadvertently spread the virus by handling infected plants and then healthy ones without proper sanitation."
Tomato,Yellow Leaf Curl Virus,"There are two key points to managing the spread of TYLCV:
1. Do not move infected or host plants or seedlings, or infected SLW
2. Control SLW on farms, surrounding vegetation and seedling nurseries.
Good farm management and farm hygiene practices will help manage the spread of TYLCV:
1.Use seedling plants produced in an area free from virus and whiteflies
2. Destroy old crops as soon as possible after final harvest
3. Control SLW adults before destroying crops to reduce the migration of SLW to other crops
4. Plant new crops as far away as practicable from existing crops which may harbour the virus and its carrier, silverleaf whitefly
5. Control silverleaf whiteflies using appropriate chemicals, application methods and IPM strategies
maintain a high standard of weed control within and around crops to reduce hosts of both the virus and silverleaf whitefly.","1.Use resistant or tolerant varieties.
2. Plant early to avoid peak populations of the whitefly.
3. Intercrop with rows of non-susceptible plants such as squash and cucumber.
4.Use nets to cover seedbeds and prevent whiteflies from reaching plants.
5. Practice crop rotation with non-susceptible plants.","Neem oil - https://www.amazon.in/OrganicDews-Neem-Concentrate-Plants-Measuring/dp/B00VAQNFL4
cyantraniliprole
https://m.indiamart.com/proddetail/cyantraniliprole-10-26-od-240ml-23743597797.html","TYLCV is caused by a virus from the genus Begomovirus, specifically transmitted by the sweet potato whitefly (Bemisia tabaci). The virus is non-circulative, meaning it does not multiply within the whitefly vector but is retained in its body and can be transmitted to healthy plants during feeding. Once infected, the virus disrupts the plant's normal physiological processes, leading to the characteristic symptoms of yellowing, curling, stunting, and other abnormalities"
Tomato,Bacterial spot,"Resistant Varieties: Planting resistant tomato varieties can significantly reduce the risk of infection.
Crop Rotation: Rotate tomatoes with non-host crops to reduce the buildup of the pathogen in the soil.
Sanitation: Regularly remove and destroy infected plant debris to prevent overwintering of the bacteria.
Spacing: Proper plant spacing allows for better air circulation and helps reduce humidity around plants.","Start with Disease-Free Plants: Purchase plants from reputable sources to minimise the risk of introducing the disease.
Practise Good Hygiene: Clean tools and equipment regularly to prevent the transfer of bacteria.
Monitor Your Plants: Regularly inspect your tomato plants for symptoms and take action if you notice any signs of infection.
Quarantine New Plants: If you introduce new plants to your garden, isolate them for a period to ensure they are disease-free before planting them with your established plants.","Liquid Copper Fungicide: https://www.amazon.in/16-Oz-Southern-Liquid-Fungicide/dp/B0052NL4FK
Agri-Mycin 50: https://us.amazon.com/Nufarm-Agri-Mycin-50-3/dp/B07G1JRFJ1","Tomato bacterial spot is caused by the bacterium Xanthomonas campestris pv. vesicatoria. The bacteria enter the plant through natural openings like stomata, wounds, or cracks in the plant tissues. Warm and humid conditions facilitate the spread and development of the disease. It can also be spread through contaminated tools, equipment, or hands."
Tomato,Late blight,"Resistant Varieties: Planting resistant tomato varieties can provide some level of protection against late blight.
Cultural Practices: Proper plant spacing, pruning, and staking promote air circulation and reduce humidity, which can slow down disease development.
Fungicides: Copper-based fungicides and other fungicides labeled for late blight management can help reduce disease spread. Apply them preventively and according to the label instructions. Fungicides are most effective when used in a rotation to prevent the development of resistant strains.
Organic Solutions: Some organic solutions like copper-based sprays, neem oil, and biological control agents can also help manage late blight to some extent.","Proper Plant Spacing: Adequate spacing between plants allows for better air circulation, reducing humidity and the spread of the disease.
Avoid Overhead Watering: Watering at the base of plants helps keep foliage dry and reduces conditions favorable for disease development.
Timely Harvest: Harvest mature fruits promptly to prevent disease spread within the plant canopy.
Sanitation: Remove and destroy infected plant debris to prevent overwintering of the pathogen.
Crop Rotation: Rotate tomatoes and potatoes with unrelated crops to prevent the buildup of the pathogen in the soil.","Presidio 4FL: https://www.domyown.com/presidio-fungicide-p-21758.html
Orondis Opti: https://geokisaan.com/products/orondis-opti-406-sc","Tomato late blight is caused by the pathogen Phytophthora infestans. It thrives in cool and moist conditions. Spores are spread by wind, rain, or irrigation water. Once spores land on susceptible plant parts, they germinate and infect the plant tissues, leading to rapid disease progression."
Tomato,Leaf Mold,"Improve Air Circulation: Proper spacing and pruning promote better air circulation, reducing humidity and the conditions conducive to fungal growth.
Avoid Overhead Watering: Water at the base of plants to keep foliage dry and minimize fungal spore germination.
Mulching: Applying mulch around plants can help prevent soil splashing onto leaves, which can contribute to disease spread.
Resistant Varieties: Some tomato varieties are resistant to leaf mold. Choosing resistant varieties can greatly reduce the risk of infection.
Fungicides: Fungicides labeled for leaf mold control can be used preventively. Products containing chlorothalonil, mancozeb, or other recommended fungicides can help reduce disease severity. Follow the instructions on the label for proper application.","Healthy Transplants: Purchase or raise healthy tomato transplants from reputable sources to reduce the risk of introducing the disease.
Quarantine New Plants: Isolate new plants for a period before introducing them to your garden to ensure they are not carrying the disease.
Monitor Regularly: Regularly inspect your tomato plants for signs of leaf mold, especially on the undersides of leaves.
Sanitation: Remove and destroy infected plant material to reduce the chances of spores overwintering and spreading.","Mancozeb : https://www.amazon.in/Bonide-Chemical-862-Mancozeb-Fungicide/dp/B000BWZ9JO
Dithane: https://www.meesho.com/dithane-m-45-fungicide-500-gm/p/23bgvo","Tomato leaf mold is caused by the fungus Fulvia fulva. It thrives in warm and humid conditions, often developing on the underside of tomato leaves. The disease spreads through spores produced by the fungus, and it can be introduced into your garden through infected seeds, transplants, or contaminated tools."
Tomato,Septoria leaf spot,"Resistant Varieties: Some tomato varieties exhibit resistance to septoria leaf spot. Planting resistant varieties can significantly reduce the risk of infection.
Crop Rotation: Rotate tomato plants with unrelated crops to break the disease cycle and reduce the buildup of the pathogen in the soil.
Proper Plant Spacing: Adequate spacing between plants promotes air circulation, reducing humidity and the spread of the disease.
Mulching: Applying mulch around plants can prevent soil splash onto leaves and limit the spread of spores.
Prune Lower Leaves: Remove and destroy lower leaves that show symptoms to reduce disease spread.","Sanitation: Remove and destroy infected plant debris and fallen leaves to reduce the overwintering of the fungus.
Water Management: Avoid overhead watering, as wet foliage encourages spore germination and disease spread. Water at the base of the plants.
Avoid Crowding: Avoid overcrowding plants, as this can lead to poor air circulation and higher humidity levels.
Quarantine New Plants: Isolate new plants before introducing them to your garden to prevent the introduction of the disease.","Priaxor: https://m.indiamart.com/proddetail/priaxor-basf-fungicides-2852530884812.html
Mancozeb : https://www.amazon.in/Bonide-Chemical-862-Mancozeb-Fungicide/dp/B000BWZ9JO","Tomato septoria leaf spot is caused by the fungus Septoria lycopersici. The disease spreads through spores produced by the fungus. Warm and humid conditions, along with overhead watering or rain, create an environment conducive to spore germination and disease development. The fungus typically overwinters on infected plant debris and can survive in the soil."
Tomato,Spider mites Two spotted spider mite,"Water Spray: Regularly spraying the undersides of leaves with a strong jet of water can dislodge mites and help reduce their populations.
Neem Oil: Neem oil is a natural option that can disrupt the mites' growth and development. It's important to apply it thoroughly, including the undersides of leaves.
Insecticidal Soaps: Insecticidal soaps can also be effective in controlling mite populations. Again, ensure good coverage, including the undersides of leaves.
Beneficial Predators: Introducing natural predators like predatory mites and ladybugs can help keep two-spotted spider mite populations in check.
Isolate Infested Plants: If you purchase new plants, isolate them for a while to prevent introducing mites to your garden.
Prune Infested Leaves: Remove severely infested leaves and dispose of them to prevent mites from spreading further.","Regular Inspection: Regularly inspect the undersides of tomato leaves for signs of mites or stippling damage.
Maintain Plant Health: Healthy plants are less susceptible to pest infestations. Proper watering, fertilization, and overall plant care can help minimize mite problems.
Avoid Overcrowding: Crowded plants are more prone to mite infestations due to reduced air circulation.
Quarantine New Plants: Isolate new plants before introducing them to your garden to prevent the spread of mites.","Abamectin
https://m.indiamart.com/proddetail/abamectin-2-ec-26127146697.html
Azadirachtin (neem oil): https://www.amazon.in/Krishi-Bio-Azadirachti-Insecticide-Fungicide/dp/B0B223BXLV","Two-spotted spider mites (Tetranychus urticae) are common pests that infest tomato plants, causing damage by sucking sap from the leaves. These tiny arachnids create small yellow spots on the leaves and fine webbing, leading to reduced photosynthesis, stunted growth, and ultimately, decreased fruit yield. They thrive in warm, dry conditions and reproduce rapidly, making them challenging to control. Additionally, their ability to develop resistance to pesticides complicates management efforts. Early detection, regular monitoring, and the use of integrated pest management strategies are essential for mitigating the impact of two-spotted spider mites on tomato crops."
Paddy,Bacterial leaf blight,"Remedies for Paddy Bacterial Leaf Blight: While complete eradication of bacterial leaf blight can be challenging, management strategies can help mitigate its impact:
Use Resistant Varieties: Planting rice varieties with genetic resistance to bacterial leaf blight can significantly reduce the risk of infection.
Crop Rotation: Rotate rice with non-host crops to disrupt the disease cycle and reduce bacterial populations in the soil.
Sanitation: Remove and destroy infected plant debris to prevent overwintering of the bacteria.
Seed Treatment: Treat rice seeds with hot water to kill any bacteria present on the seeds before planting.
Aerobic Rice Cultivation: Practicing aerobic (non-flooded) rice cultivation can reduce disease severity, as bacterial leaf blight thrives in standing water.
Copper-based Sprays: Copper-based bactericides can be used as a preventive measure, but their effectiveness may vary.","To prevent and manage paddy bacterial leaf blight, consider these precautions:
Healthy Seeds: Use certified disease-free seeds from reputable sources.
Field Hygiene: Keep the field clean by removing infected plant debris and weeds that can harbor bacteria.
Water Management: Maintain proper water management to avoid waterlogged conditions that promote disease development.
Proper Spacing: Adequate spacing between rice plants allows for better air circulation and reduces humidity around plants.
Timely Planting: Plant rice early to avoid peak disease conditions.",Agrimycin 500 :https://steveregan.com/products/7279063,"Causes of Paddy Bacterial Leaf Blight: Paddy bacterial leaf blight is caused by the bacterium Xanthomonas oryzae pv. oryzae. The bacterium enters the plant through natural openings like stomata or wounds, leading to infection. Warm and humid conditions are favorable for the spread of the disease. Rainwater or irrigation can facilitate the movement of bacteria between plants, causing further infection"
Paddy,Brown spot,"Use Resistant Varieties: Planting rice varieties with resistance to brown spot can help reduce the severity of the disease.
Healthy Seeds: Use certified disease-free seeds from reputable sources to minimize the introduction of the pathogen.
Proper Spacing: Plant rice with adequate spacing to promote air circulation and reduce humidity around plants.
Crop Rotation: Rotate rice with non-host crops to break the disease cycle and reduce pathogen populations in the soil.","Sanitation: Remove and destroy infected plant debris to reduce the overwintering of the fungus.
Field Hygiene: Maintain a clean field environment by removing weeds and crop residues that can harbor the pathogen.
Avoid Overhead Irrigation: Use irrigation methods that avoid wetting the foliage, as wet conditions promote disease development.","Azoxystrobin: 
https://www.amazon.in/Katyayani-AZOXYSTROBIN-Systemic-Fungicide-Powerful/dp/B09J8Y5FNX
Carbendazim: https://www.amazon.in/Carbendazim-Fungicide-Imidacloprid-Insecticide-Protection/dp/B0B325JG2Q","Paddy brown spot is caused by the fungal pathogen Bipolaris oryzae. The disease develops in warm and humid conditions, often during periods of heavy rain or extended leaf wetness. The fungus infects rice leaves through wounds or natural openings and produces characteristic brown lesions."
